  PID  PPID STAT     ELAPSED    RSS COMMAND
  516     1 Ss   05-23:11:11   2784 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
  519     1 Ss   05-23:11:11  11904 /System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.iCloudDriveFileProvider.appex/Contents/MacOS/com.apple.CloudDocs.iCloudDriveFileProvider -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5DbG91ZERvY3MuaUNsb3VkRHJpdmVGaWxlUHJvdmlkZXIiLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZX0=
  524     1 S    05-23:11:11 119536 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
  525     1 S    05-23:11:11  17824 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
  526     1 Ss   05-23:11:11  47392 /System/Applications/Weather.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUud2VhdGhlci53aWRnZXQifQ==
  531     1 Ss   05-23:11:10  10976 /usr/libexec/nearbyd
  532     1 S    05-23:11:10  25888 /System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService
  533     1 S    05-23:11:10  24176 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  537     1 SNs  05-23:11:10   5312 /usr/sbin/netbiosd
  538     1 S    05-23:11:10   6320 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
  541     1 S    05-23:11:10  17648 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  542     1 S    05-23:11:10  26768 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  543     1 Ss   05-23:11:10  17600 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension -AppleLanguages ("en-US")
