  PID  PPID STAT     ELAPSED    RSS COMMAND
  519     1 Ss   05-23:11:31  11904 /System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.iCloudDriveFileProvider.appex/Contents/MacOS/com.apple.CloudDocs.iCloudDriveFileProvider -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5DbG91ZERvY3MuaUNsb3VkRHJpdmVGaWxlUHJvdmlkZXIiLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZX0=
  524     1 S    05-23:11:31 119536 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
  525     1 S    05-23:11:31  17824 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
  526     1 Ss   05-23:11:31  47392 /System/Applications/Weather.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUud2VhdGhlci53aWRnZXQifQ==
  531     1 Ss   05-23:11:30  10976 /usr/libexec/nearbyd
  532     1 S    05-23:11:30  25888 /System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService
  533     1 S    05-23:11:30  24144 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  537     1 SNs  05-23:11:30   5344 /usr/sbin/netbiosd
  538     1 S    05-23:11:30   6320 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
  541     1 S    05-23:11:30  17648 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  542     1 S    05-23:11:30  26768 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  543     1 Ss   05-23:11:30  17600 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension -AppleLanguages ("en-US")
  546     1 Ss   05-23:11:30  24048 /System/Library/CoreServices/Batteries.app/Contents/PlugIns/BatteriesAvocadoWidgetExtension.appex/Contents/MacOS/BatteriesAvocadoWidgetExtension -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5CYXR0ZXJpZXMuQmF0dGVyaWVzQXZvY2Fkb1dpZGdldEV4dGVuc2lvbiIsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlfQ==
  554     1 S    05-23:11:29  16528 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
  555     1 Ss   05-23:11:29  24592 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
  556     1 Ss   05-23:11:29  23680 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.external.extra.arm64.xpc/Contents/MacOS/com.apple.dock.external.extra.arm64
  603     1 S    05-23:11:28 138880 /Applications/Raycast.app/Contents/MacOS/Raycast
  608     1 S    05-23:11:28 102384 /usr/libexec/avconferenced
  609     1 S    05-23:11:28   3760 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
  612     1 Ss   05-23:11:28  34016 /System/Applications/Calendar.app/Contents/PlugIns/CalendarWidgetExtension.appex/Contents/MacOS/CalendarWidgetExtension -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5pQ2FsLkNhbGVuZGFyV2lkZ2V0RXh0ZW5zaW9uIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
  637     1 S    05-23:11:28  43776 /Applications/Swish.app/Contents/MacOS/Swish
  645     1 Ss   05-23:11:27  10368 /System/Library/ExtensionKit/Extensions/AccessibilitySettingsWidgetExtension.appex/Contents/MacOS/AccessibilitySettingsWidgetExtension -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5BY2Nlc3NpYmlsaXR5U2V0dGluZ3NXaWRnZXRFeHRlbnNpb24iLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZX0=
  725     1 S    05-23:11:26   2544 /usr/sbin/distnoted agent
  748     1 Ss   05-23:11:26   7888 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
  825     1 S    05-23:11:25  54336 /System/Library/CoreServices/UserNotificationCenter.app/Contents/MacOS/UserNotificationCenter
  866     1 Ss   05-23:11:25   9088 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.GPU.xpc/Contents/MacOS/com.apple.WebKit.GPU
  869     1 Ss   05-23:11:25   2352 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
  882     1 Ss   05-23:11:25   8272 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
  885     1 Ss   05-23:11:25   1984 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
